vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-07-12T21:26:41.000,2017-07-12T21:40:41.000,1,2.56,1,N,48,237,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2017-07-12T21:45:41.000,2017-07-12T21:56:41.000,1,1.92,1,N,237,262,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2017-07-12T21:14:28.000,2017-07-12T21:28:08.000,1,1.52,1,N,48,229,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-07-12T21:31:17.000,2017-07-12T21:37:34.000,1,2.20,1,N,162,263,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2017-07-12T21:52:52.000,2017-07-12T22:38:35.000,1,10.18,1,N,162,181,1,37.5,0.5,0.5,5,0,0.3,43.8
1,2017-07-12T21:39:21.000,2017-07-12T21:54:55.000,1,9.60,1,N,138,65,1,27,0.5,0.5,5.65,0,0.3,33.95
2,2017-07-12T21:18:28.000,2017-07-12T21:20:31.000,1,0.42,1,N,186,100,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2017-07-12T21:34:10.000,2017-07-12T21:47:28.000,1,2.50,1,N,161,262,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-07-12T21:26:17.000,2017-07-12T21:33:12.000,1,1.20,1,N,234,158,1,6.5,0.5,0.5,1.5,0,0.3,9.3
1,2017-07-12T21:36:18.000,2017-07-12T21:44:19.000,1,1.40,1,N,158,231,1,7.5,0.5,0.5,1.32,0,0.3,10.12
1,2017-07-12T21:47:20.000,2017-07-12T21:59:04.000,1,1.90,1,N,125,79,1,10,0.5,0.5,1.75,0,0.3,13.05
1,2017-07-12T21:16:31.000,2017-07-12T21:26:16.000,1,2.30,1,N,158,13,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2017-07-12T21:31:33.000,2017-07-12T21:52:54.000,1,5.00,1,N,13,163,1,18.5,0.5,0.5,3.95,0,0.3,23.75
2,2017-07-12T21:48:24.000,2017-07-12T22:20:53.000,1,20.06,1,N,132,33,1,53.5,0.5,0.5,10.96,0,0.3,65.76
2,2017-07-12T21:17:34.000,2017-07-12T21:22:54.000,1,0.84,1,N,90,249,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-07-12T21:34:53.000,2017-07-12T21:51:25.000,1,1.95,1,N,249,87,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2017-07-12T21:57:57.000,2017-07-12T22:04:39.000,1,1.30,1,N,148,107,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2017-07-12T21:24:09.000,2017-07-12T21:38:42.000,1,2.50,1,N,161,249,1,11.5,0.5,0.5,2,0,0.3,14.8
1,2017-07-12T21:45:40.000,2017-07-12T21:58:54.000,1,1.60,1,N,90,246,1,10,0.5,0.5,2,0,0.3,13.3
1,2017-07-12T21:02:43.000,2017-07-12T21:24:10.000,1,4.20,1,N,186,209,1,17,0.5,0.5,3.65,0,0.3,21.95
2,2017-07-12T21:05:50.000,2017-07-12T21:11:21.000,1,1.24,1,N,48,186,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2017-07-12T21:14:08.000,2017-07-12T21:27:54.000,1,3.36,1,N,186,231,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2017-07-12T21:33:25.000,2017-07-12T21:57:22.000,1,5.92,1,N,231,239,1,20.5,0.5,0.5,4.36,0,0.3,26.16
2,2017-07-12T21:59:06.000,2017-07-12T22:02:28.000,1,1.02,1,N,239,151,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2017-07-12T21:23:14.000,2017-07-12T21:26:42.000,1,0.37,1,N,237,237,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:39:44.000,2017-07-12T22:07:00.000,1,4.44,1,N,164,112,1,20.5,0.5,0.5,5.51,5.76,0.3,33.07
1,2017-07-12T21:11:53.000,2017-07-12T21:20:47.000,1,1.10,1,N,145,7,1,7.5,0.5,0.5,2.2,0,0.3,11
1,2017-07-12T21:22:57.000,2017-07-12T21:41:58.000,1,6.10,1,N,7,41,1,20,0.5,0.5,4.25,0,0.3,25.55
1,2017-07-12T21:46:09.000,2017-07-12T21:48:24.000,2,0.50,1,N,166,151,1,4,0.5,0.5,1,0,0.3,6.3
1,2017-07-12T21:54:31.000,2017-07-12T22:11:44.000,1,2.70,1,N,239,68,1,13,0.5,0.5,4.25,0,0.3,18.55
