vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-07-12T21:35:09.000,2017-07-12T21:48:23.000,1,2.10,1,N,231,33,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,2017-07-12T21:58:53.000,2017-07-12T22:14:48.000,1,3.20,1,N,231,68,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,2017-07-12T21:52:54.000,2017-07-12T22:10:10.000,1,8.22,1,N,48,243,1,24.5,0.5,0.5,3.2,0,0.3,29
1,2017-07-12T21:16:39.000,2017-07-12T21:30:50.000,1,3.90,1,N,264,264,1,14.5,0.5,0.5,0,0,0.3,15.8
1,2017-07-12T21:40:43.000,2017-07-12T21:54:10.000,1,3.00,1,N,264,264,1,12,0.5,0.5,0.1,0,0.3,13.4
2,2017-07-12T21:26:40.000,2017-07-12T21:33:38.000,2,1.85,1,N,43,239,1,8,0.5,0.5,2.32,0,0.3,11.62
2,2017-07-12T21:00:22.000,2017-07-12T21:46:20.000,1,21.22,2,N,132,231,1,52,0,0.5,15.84,0,0.3,68.64
2,2017-07-12T21:54:11.000,2017-07-12T22:06:29.000,1,2.34,1,N,13,113,1,10.5,0.5,0.5,3.54,0,0.3,15.34
1,2017-07-12T21:26:56.000,2017-07-12T21:32:18.000,2,0.40,1,N,229,233,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2017-07-12T21:36:27.000,2017-07-12T21:48:30.000,4,2.20,1,N,233,140,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2017-07-12T21:51:29.000,2017-07-12T21:53:36.000,2,0.50,1,N,140,262,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:30:39.000,2017-07-12T21:46:44.000,1,3.73,1,N,142,249,1,14,0.5,0.5,1.5,0,0.3,16.8
2,2017-07-12T21:48:31.000,2017-07-12T21:53:13.000,1,0.94,1,N,249,234,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-07-12T21:55:45.000,2017-07-12T22:18:13.000,1,3.38,1,N,90,231,1,13,0.5,0.5,4.29,0,0.3,18.59
1,2017-07-12T21:01:52.000,2017-07-12T21:37:29.000,2,9.00,1,N,209,236,1,32,0.5,0.5,6.65,0,0.3,39.95
1,2017-07-12T21:43:32.000,2017-07-12T21:56:38.000,2,1.80,1,N,43,100,2,10,0.5,0.5,0,0,0.3,11.3
1,2017-07-12T21:58:07.000,2017-07-12T22:01:37.000,1,0.10,1,N,100,230,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:02:04.000,2017-07-12T21:09:09.000,1,1.16,1,N,263,75,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2017-07-12T21:06:20.000,2017-07-12T21:19:22.000,2,1.77,1,N,162,68,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2017-07-12T21:20:52.000,2017-07-12T21:32:14.000,2,1.45,1,N,68,50,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-07-12T21:34:17.000,2017-07-12T21:40:20.000,2,0.75,1,N,50,230,1,5.5,0.5,0.5,1.7,0,0.3,8.5
2,2017-07-12T21:45:49.000,2017-07-12T21:59:03.000,2,2.45,1,N,230,236,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2017-07-12T21:49:51.000,2017-07-12T21:57:18.000,1,1.72,1,N,163,238,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2017-07-12T21:11:15.000,2017-07-12T21:25:52.000,1,2.20,1,N,230,236,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2017-07-12T21:38:03.000,2017-07-12T21:58:30.000,1,3.30,1,N,161,231,1,15,0.5,0.5,4.08,0,0.3,20.38
1,2017-07-12T21:48:10.000,2017-07-12T22:02:34.000,1,7.10,1,N,262,87,1,21.5,0.5,0.5,4.55,0,0.3,27.35
1,2017-07-12T21:10:44.000,2017-07-12T21:18:44.000,1,1.20,1,N,164,233,1,7,0.5,0.5,0.7,0,0.3,9
2,2017-07-12T21:03:36.000,2017-07-12T21:18:59.000,1,2.28,1,N,162,234,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2017-07-12T21:25:06.000,2017-07-12T21:35:34.000,1,1.37,1,N,234,161,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2017-07-12T21:43:07.000,2017-07-12T21:54:15.000,1,1.01,1,N,170,230,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2017-07-12T21:55:27.000,2017-07-12T22:09:02.000,1,1.50,1,N,230,170,2,10,0.5,0.5,0,0,0.3,11.3
1,2017-07-12T21:37:52.000,2017-07-12T22:14:40.000,1,15.60,1,N,68,208,2,45.5,0.5,0.5,0,0,0.3,46.8
1,2017-07-12T21:04:47.000,2017-07-12T21:29:38.000,2,2.00,1,N,79,186,1,16,0.5,0.5,4.3,0,0.3,21.6
1,2017-07-12T21:41:12.000,2017-07-12T22:01:26.000,1,4.10,1,N,107,43,2,17,0.5,0.5,0,0,0.3,18.3
2,2017-07-12T21:03:48.000,2017-07-12T21:12:52.000,1,1.15,1,N,79,224,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2017-07-12T21:35:33.000,2017-07-12T21:49:45.000,1,1.37,1,N,170,113,1,10,0.5,0.5,1,0,0.3,12.3
1,2017-07-12T21:15:42.000,2017-07-12T21:33:00.000,1,2.80,1,N,68,114,1,13,0.5,0.5,2,0,0.3,16.3
1,2017-07-12T21:38:09.000,2017-07-12T21:57:49.000,1,2.80,1,N,113,13,1,14,0.5,0.5,3.8,0,0.3,19.1
2,2017-07-12T21:07:28.000,2017-07-12T21:17:54.000,1,1.64,1,N,162,234,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-07-12T21:20:47.000,2017-07-12T21:43:11.000,1,2.48,1,N,234,144,2,15,0.5,0.5,0,0,0.3,16.3
2,2017-07-12T21:45:49.000,2017-07-12T21:53:33.000,1,1.04,1,N,144,231,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,2017-07-12T21:55:40.000,2017-07-12T22:03:56.000,1,1.62,1,N,231,158,1,8,0.5,0.5,1.4,0,0.3,10.7
2,2017-07-12T21:23:07.000,2017-07-12T21:28:52.000,1,0.91,1,N,164,234,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-07-12T21:30:50.000,2017-07-12T21:40:19.000,1,1.52,1,N,234,231,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-07-12T21:44:02.000,2017-07-12T21:51:49.000,1,1.02,1,N,231,13,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-07-12T21:53:16.000,2017-07-12T22:06:40.000,1,4.21,1,N,13,4,1,15,0.5,0.5,1.25,0,0.3,17.55
2,2017-07-12T21:17:43.000,2017-07-12T21:41:20.000,1,8.93,1,N,138,137,1,28,0.5,0.5,7.01,5.76,0.3,42.07
1,2017-07-12T21:09:13.000,2017-07-12T21:27:26.000,1,8.50,1,N,138,236,1,25,0.5,0.5,6.4,5.76,0.3,38.46
1,2017-07-12T21:30:23.000,2017-07-12T21:41:19.000,1,2.00,1,N,236,229,1,9.5,0.5,0.5,1,0,0.3,11.8
1,2017-07-12T21:07:31.000,2017-07-12T21:15:30.000,1,1.20,1,N,238,236,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2017-07-12T21:22:52.000,2017-07-12T21:37:21.000,1,1.20,1,N,237,229,1,10.5,0.5,0.5,3.5,0,0.3,15.3
1,2017-07-12T21:41:59.000,2017-07-12T21:50:55.000,2,0.90,1,N,229,163,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2017-07-12T21:58:18.000,2017-07-12T22:10:23.000,1,1.90,1,N,162,236,1,10,0.5,0.5,2.8,0,0.3,14.1
1,2017-07-12T21:05:31.000,2017-07-12T21:27:25.000,2,6.10,1,N,107,25,1,20.5,0.5,0.5,4.35,0,0.3,26.15
1,2017-07-12T21:42:56.000,2017-07-12T21:57:38.000,1,3.00,1,N,114,100,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2017-07-12T21:20:31.000,2017-07-12T21:24:37.000,1,1.20,1,N,141,263,1,5.5,0.5,0.5,1.7,0,0.3,8.5
1,2017-07-12T21:36:12.000,2017-07-12T21:41:51.000,1,0.90,1,N,161,237,1,6,0.5,0.5,1.45,0,0.3,8.75
2,2017-07-12T21:50:49.000,2017-07-12T22:08:17.000,2,5.51,1,N,162,87,1,19,0.5,0.5,4.06,0,0.3,24.36
2,2017-07-12T21:10:16.000,2017-07-12T21:26:20.000,1,2.25,1,N,229,234,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2017-07-12T21:29:15.000,2017-07-12T21:36:34.000,1,1.28,1,N,90,158,2,7,0.5,0.5,0,0,0.3,8.3
2,2017-07-12T21:39:52.000,2017-07-12T21:58:00.000,1,5.15,1,N,158,24,1,19,0.5,0.5,3.5,0,0.3,23.8
2,2017-07-12T21:59:40.000,2017-07-12T22:24:54.000,1,6.86,1,N,24,79,1,24.5,0.5,0.5,0,0,0.3,25.8
1,2017-07-12T21:02:22.000,2017-07-12T21:11:44.000,1,1.20,1,N,163,170,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-07-12T21:15:55.000,2017-07-12T21:21:20.000,1,0.70,1,N,170,234,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2017-07-12T21:41:55.000,2017-07-12T21:59:25.000,1,3.30,1,N,234,87,1,13.5,0.5,0.5,2,0,0.3,16.8
2,2017-07-12T21:06:23.000,2017-07-12T21:14:03.000,5,2.17,1,N,43,75,1,8.5,0.5,0.5,0.98,0,0.3,10.78
2,2017-07-12T21:28:48.000,2017-07-12T21:42:05.000,5,3.91,1,N,262,226,1,14,0.5,0.5,3.06,0,0.3,18.36
1,2017-07-12T21:05:51.000,2017-07-12T21:28:08.000,1,12.30,1,N,264,264,4,34.5,0.5,0.5,0,0,0.3,35.8
2,2017-07-12T21:29:42.000,2017-07-12T21:42:09.000,5,2.11,1,N,162,113,1,10.5,0.5,0.5,2,0,0.3,13.8
2,2017-07-12T21:47:28.000,2017-07-12T22:13:24.000,5,4.08,1,N,90,262,1,18.5,0.5,0.5,3.96,0,0.3,23.76
1,2017-07-12T21:44:04.000,2017-07-12T22:06:13.000,1,8.80,1,N,138,100,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26
2,2017-07-12T21:51:35.000,2017-07-12T22:02:29.000,1,1.64,1,N,164,237,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-07-12T21:09:42.000,2017-07-12T21:21:53.000,1,2.96,1,N,25,87,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2017-07-12T21:37:37.000,2017-07-12T22:06:51.000,1,10.88,1,N,261,244,1,33,0.5,0.5,1,0,0.3,35.3
2,2017-07-12T21:12:52.000,2017-07-12T21:23:12.000,5,1.66,1,N,68,79,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2017-07-12T21:30:59.000,2017-07-12T21:49:16.000,5,2.40,1,N,249,170,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2017-07-12T21:52:19.000,2017-07-12T22:06:13.000,5,2.02,1,N,170,163,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2017-07-12T21:24:47.000,2017-07-12T21:35:30.000,1,2.14,1,N,142,238,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-07-12T21:40:55.000,2017-07-12T22:14:13.000,1,4.97,1,N,239,144,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2017-07-12T21:11:02.000,2017-07-12T21:30:06.000,1,2.50,1,N,170,50,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2017-07-12T21:40:16.000,2017-07-12T21:47:17.000,1,0.97,1,N,230,164,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2017-07-12T21:50:06.000,2017-07-12T22:01:50.000,1,1.04,1,N,234,170,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2017-07-12T21:37:35.000,2017-07-12T21:55:37.000,2,3.81,1,N,48,231,1,15.5,0.5,0.5,1.8,0,0.3,18.6
2,2017-07-12T21:03:56.000,2017-07-12T21:29:48.000,1,12.84,1,N,138,87,1,35.5,0.5,0.5,7.36,0,0.3,44.16
2,2017-07-12T21:33:40.000,2017-07-12T21:57:06.000,1,5.27,1,N,87,186,1,21,0.5,0.5,4.46,0,0.3,26.76
2,2017-07-12T21:59:33.000,2017-07-12T22:10:05.000,1,2.26,1,N,186,143,1,9.5,0.5,0.5,2,0,0.3,12.8
1,2017-07-12T21:03:31.000,2017-07-12T22:00:49.000,1,23.00,2,N,132,48,2,52,0,0.5,0,5.76,0.3,58.56
2,2017-07-12T21:30:21.000,2017-07-12T21:47:34.000,5,5.55,1,N,141,114,1,18.5,0.5,0.5,3.96,0,0.3,23.76
2,2017-07-12T21:50:32.000,2017-07-12T22:02:32.000,5,1.61,1,N,114,107,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-07-12T21:13:05.000,2017-07-12T21:58:11.000,3,20.44,2,N,132,79,1,52,0,0.5,10.56,0,0.3,63.36
2,2017-07-12T21:48:01.000,2017-07-12T22:08:58.000,1,13.68,1,N,132,131,1,37,0.5,0.5,13,0,0.3,51.3
2,2017-07-12T21:01:06.000,2017-07-12T21:06:29.000,1,0.82,1,N,161,230,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2017-07-12T21:08:40.000,2017-07-12T21:20:14.000,1,2.96,1,N,100,148,1,11,0.5,0.5,2.46,0,0.3,14.76
2,2017-07-12T21:37:11.000,2017-07-12T21:42:29.000,1,0.98,1,N,114,249,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2017-07-12T21:44:07.000,2017-07-12T21:49:01.000,1,1.52,1,N,249,231,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-07-12T21:57:22.000,2017-07-12T22:10:22.000,1,5.60,1,N,88,162,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,2017-07-12T21:55:23.000,2017-07-12T22:08:36.000,2,6.33,1,N,138,145,1,19.5,0.5,0.5,3,0,0.3,23.8
2,2017-07-12T21:04:47.000,2017-07-12T21:10:33.000,1,0.88,1,N,236,262,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-07-12T21:18:01.000,2017-07-12T21:21:44.000,1,0.60,1,N,236,262,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2017-07-12T21:31:36.000,2017-07-12T21:34:29.000,1,0.56,1,N,236,237,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:49:49.000,2017-07-12T21:59:40.000,1,1.85,1,N,170,249,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2017-07-12T21:07:32.000,2017-07-12T21:20:00.000,5,6.10,1,N,13,233,1,18.5,0.5,0.5,2.2,0,0.3,22
2,2017-07-12T21:28:11.000,2017-07-12T21:57:49.000,5,6.01,5,N,162,265,1,50,0,0,12.16,10.5,0.3,72.96
1,2017-07-12T21:00:04.000,2017-07-12T21:24:00.000,1,3.00,1,N,163,79,1,16,1,0.5,3.55,0,0.3,21.35
1,2017-07-12T21:42:30.000,2017-07-12T22:02:58.000,2,5.30,1,N,249,238,1,19.5,0.5,0.5,2,0,0.3,22.8
2,2017-07-12T21:37:58.000,2017-07-12T21:58:08.000,1,11.81,1,N,138,224,2,33,0.5,0.5,0,5.76,0.3,40.06
1,2017-07-12T21:12:44.000,2017-07-12T21:22:44.000,1,0.50,1,N,231,144,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2017-07-12T21:29:20.000,2017-07-12T21:40:33.000,1,1.40,1,N,144,113,1,9,0.5,0.5,1,0,0.3,11.3
1,2017-07-12T21:43:27.000,2017-07-12T22:12:48.000,1,5.00,1,N,113,236,2,21,0.5,0.5,0,0,0.3,22.3
1,2017-07-12T21:03:03.000,2017-07-12T21:10:21.000,1,0.90,1,N,161,229,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2017-07-12T21:25:37.000,2017-07-12T21:59:13.000,1,8.20,1,N,161,95,1,29.5,0.5,0.5,6.15,0,0.3,36.95
1,2017-07-12T21:08:01.000,2017-07-12T21:11:55.000,1,1.40,1,N,239,24,2,6,0.5,0.5,0,0,0.3,7.3
